Count,Sl.No.,Name of the Issuer,Initial Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date
222,222,ARIHANT CONSTRUCTIONS,SMERA BBB-,24-Sep-16,,,,,,,,,,
223,223,ARIHANT TRADERS,SMERA BB-,12-Feb-16,Indicative,04-May-17,,,,,,,,
224,224,ARIHANT WHEELS & CYCLES PRIVATE LIMITED,SMERA D,08-Jul-16,Indicative,06-Oct-17,,,,,,,,
225,225,ARISTOS ELECTRONIC MANUFACTURING SERVICES PRIVATE LIMI,ESDMERA B-/SMERA A4,26-Apr-17,,,,,,,,,,
226,226,ARJAV DIAMONDS (INDIA) PRIVATE LIMITED,SMERA A-,06-Dec-17,,,,,,,,,,
227,227,ARJUN ENTERPRISES PRIVATE LIMITED,SMERA BB-/SMERA A4+,01-Jun-17,,,,,,,,,,
228,228,ARJUNA NATURAL EXTRACTS LIMITED,SMERA A/SMERA A1,15-Nov-17,,,,,,,,,,
229,229,ARM & HAMMER FORGINGS PRIVATE LIMITED,SMERA D,16-Jan-15,Indicative,25-Sep-17,,,,,,,,
230,230,ARMANI INDUSTRIES INDIA PRIVATE LIMITED,SMERA B/SMERA A4,06-Apr-15,SMERA BB-/SMERA A4+,07-Jan-16,,,,,,,,
231,231,ARMEE INFOTECH PRIVATE LIMITED,SMERA BBB-/SMERA A3,28-Mar-18,,,,,,,,,,
232,232,ARMIN INDUSTRIES,SMERA BB-,07-Nov-17,,,,,,,,,,
233,233,ARMOR KARTONS,SMERA B+,13-Dec-17,,,,,,,,,,
234,234,ARMSTRONG (INDIA) CONSTRUCTION,SMERA B+/SMERA A4,27-Jun-16,Indicative,22-Sep-17,,,,,,,,
235,235,ARNOTHAYA MILLS,SMERA BB/SMERA A4+,19-Oct-15,Indicative,15-Feb-17,SMERA BB+/SMERA A4+,16-Mar-17,,,,,,
236,236,AROMA CHEMICALS,SMERA B/SMERA A4,07-Jan-15,Suspended,19-Feb-16,,,,,,,,
237,237,ARROW POWERTECH PRIVATE LIMITED,SMERA B/SMERA A4,30-Jul-14,Suspended,02-Nov-15,SMERA B+/SMERA A4,07-Dec-15,Indicative,04-Mar-17,,,,
238,238,ARS FABRICS PRIVATE LIMITED,SMERA B,30-Apr-13,Suspended,15-Jul-14,,,,,,,,
239,239,ARUDRA ENGINEERS PRIVATE LIMITED,SMERA A/SMERA A1,09-May-14,,,,,,,,,,
240,240,ARUN INTERNATIONAL,SMERA B-/SMERA A4,10-Feb-15,Suspended,28-Apr-16,,,,,,,,
241,241,ARUN VYAPAR UDYOG PRIVATE LIMITED,SMERA BBB-/SMERA A3,22-Jan-18,,,,,,,,,,
242,242,ARUNACHALA GOUNDER TEXTILE MILLS PRIVATE LIMITED,SMERA BBB-/SMERA A3,26-Feb-18,,,,,,,,,,
243,243,ARVIND AND RAJAN CONSTRUCTIONS,SMERA BB/SMERA A4+,17-May-17,,,,,,,,,,
244,244,ARVIND REALTORS PRIVATE LIMITED,SMERA BB-,09-Mar-18,,,,,,,,,,
245,245,ARWADE INFRASTRUCTURE LIMITED,SMERA BBB-/SMERA A3,20-Dec-17,,,,,,,,,,
246,246,ARYAVRAT TRADING PRIVATE LIMITED,SMERA BB,16-Nov-15,SMERA BB-,10-Feb-17,,,,,,,,
247,247,ARYAVRATA STEEL PRIVATE LIMITED,SMERA BB+/SMERA A4+,21-Nov-16,Indicative,12-Mar-18,,,,,,,,
248,248,ASENCE PHARMA PRIVATE LIMITED,SMERA B+/SMERA A4,03-Feb-17,,,,,,,,,,
249,249,ASHA CONSTRUCTION,SMERA BB-/SMERA A4,11-Dec-17,,,,,,,,,,
250,250,ASHA DIAMOND,SMERA BB,21-Jan-16,Indicative,21-Apr-17,SMERA BBB-,31-Jan-18,,,,,,
251,251,ASHAPURA PAPER MILLS PRIVATE LIMITED,SMERA B+/SMERA A4,20-Aug-14,Suspended,26-Nov-15,,,,,,,,
252,252,ASHAPURI EXIM PRIVATE LIMITED,SMERA B/SMERA A4,20-Mar-17,,,,,,,,,,
253,253,ASHIRVAD AGRO PROCESSORS,SMERA B+,18-Nov-16,SMERA BB-,23-Mar-18,,,,,,,,
254,254,ASHIRVAD FOOD PRODUCTS PRIVATE LIMITED,SMERA B/SMERA A4,05-Jan-15,Suspended,29-Mar-16,,,,,,,,
255,255,ASHIRVAD POLYSAC PRIVATE LIMITED,SMERA B/SMERA A4,08-Dec-17,,,,,,,,,,
256,256,ASHISH TIMBER DEPOT,SMERA B/SMERA A4,01-Aug-16,,,,,,,,,,
257,257,ASHOK KUMAR MITTAL,SMERA BB/SMERA A4+,24-Feb-18,,,,,,,,,,
258,258,ASHOKA ASSOCIATES,SMERA BB-/SMERA A4,12-Dec-16,Indicative,29-Jan-18,,,,,,,,
259,259,ASHOKA BELGAUM DHARWAD TOLLWAY LIMITED,SMERA BBB(SO),21-Jan-17,Withdrawn,16-Oct-17,,,,,,,,
260,260,ASHOKA BUILDCON LIMITED,SMERA AA-/SMERA A1+,11-Jul-17,,,,,,,,,,
261,261,ASHOKA BUILDCON LIMITED,SMERA A1+,11-Jul-17,,,,,,,,,,
262,262,ASHOKA DHANKUNI KHARAGPUR TOLLWAY LIMITED,SMERA BBB+(SO),24-May-17,,,,,,,,,,
263,263,ASHOKA DRUGS & CHEMICALS,SMERA BB,02-Mar-16,Indicative,26-May-17,,,,,,,,
264,264,ASHOKA MACHINE TOOLS INTERNATIONAL PRIVATE LIMITED,SMERA B/SMERA A4,14-Jan-14,Suspended,20-Jan-15,,,,,,,,
265,265,ASHOO DECOR INDIA,SMERA BB-/SMERA A4+,20-Jul-15,Indicative,12-Mar-18,,,,,,,,
266,266,ASHUTOSH METAL PRIVATE LIMITED,SMERA BBB-/SMERA A3,18-Jan-18,,,,,,,,,,
267,267,ASIATIC TRADERS,SMERA BBB-/SMERA A3,13-May-17,,,,,,,,,,
268,268,ASM INDUSTRIES INDIA PRIVATE LIMITED,SMERA B+/SMERA A4,06-Jun-14,SMERA BB-/SMERA A4,20-May-15,SMERA BB-/SMERA A4+,09-May-16,,,,,,
269,269,ASOMI FINANCE PRIVATE LIMITED,SMERA BB,04-May-17,,,,,,,,,,
270,270,ASPA BANDSONS AUTO PRIVATE LIMITED,SMERA BBB,20-Nov-17,,,,,,,,,,
271,271,AS-SALAM CHARITABLE AND EDUCATIONAL TRUST,SMERA D,01-Jul-13,Suspended,30-Jul-14,,,,,,,,
272,272,ASSOCIATED CHEMICAL CORPORATION,SMERA BB/SMERA A4+,27-Dec-16,,,,,,,,,,
273,273,ASSOCIATED INDUSTRIAL FURNACES PRIVATE LIMITED,SMERA B-/SMERA A4,03-Jul-17,,,,,,,,,,
274,274,ASSOCIATED INSULATION COMPANY,SMERA B-/SMERA A4,26-Dec-17,,,,,,,,,,
275,275,ASSOCIATED TOOLINGS (INDIA) PRIVATE LIMITED,SMERA B/SMERA A4,22-Mar-16,SMERA B-/SMERA A4,24-Jul-17,,,,,,,,
276,276,ASTER INDUSTRIES,SMERA BB-/SMERA A4,12-Dec-17,,,,,,,,,,
277,277,ASTITVA EXIM,SMERA A4,22-Mar-17,,,,,,,,,,
278,278,ASWINS HOME SPECIAL,SMERA B,08-Dec-17,,,,,,,,,,
279,279,ATLAS CONSTRUCTIONS PRIVATE LIMITED,SMERA BB-/SMERA A4+,04-Jun-15,Suspended,23-Jul-16,,,,,,,,
280,280,AUDARYA CONSTRUCTION PRIVATE LIMITED,SMERA BB-/SMERA A4,05-Apr-16,,,,,,,,,,
281,281,AULAKH HEALTH CARE,SMERA B,30-Sep-17,,,,,,,,,,
282,282,AURANGABAD GYMKHANA CLUB PRIVATE LIMITED,SMERA B,22-Dec-17,,,,,,,,,,
283,283,AURANGABAD STEEL CORPORATION,SMERA B,21-May-15,Suspended,20-Jun-16,,,,,,,,
284,284,AUROPOL INDIA PRIVATE LIMITED,SMERA B+/SMERA A4,11-Mar-17,Withdrawn,04-Jan-18,,,,,,,,
285,285,AUSTIN PARFETT ENGINEERING PRIVATE LIMITED,SMERA B-,14-Apr-16,Indicative,25-Sep-17,,,,,,,,
286,286,AUTO AXIS PRIVATE LIMITED,SMERA BB-/SMERA A4,11-May-15,Indicative,13-Sep-17,,,,,,,,
287,287,AUTO KASHYAP INDIA PRIVATE LIMITED,SMERA B/SMERA A4,31-Jul-13,Suspended,18-Nov-14,,,,,,,,
288,288,AUTOCOP INDIA PRIVATE LIMITED,SMERA BBB/SMERA A3+,29-Jul-13,SMERA BBB-/SMERA A3+,17-Mar-16,,,,,,,,
289,289,AUTOMETERS ALLIANCE LIMITED,SMERA BBB-/SMERA A3,03-Mar-17,,,,,,,,,,
290,290,AUTOMETERS ENERGITEC LIMITED,SMERA BB-/SMERA A4+,24-Aug-17,,,,,,,,,,
291,291,AUTOPACK MACHINES PRIVATE LIMITED,SMERA BB+/SMERA A4+,19-Sep-16,,,,,,,,,,
292,292,AVADH INFRA PROJECT,SMERA BB,14-Mar-18,,,,,,,,,,
293,293,AVANTI MILLS WORKERS INDUSTRIAL CO-OPERATIVE LIMITED,SMERA B,16-Oct-15,Suspended,26-Dec-16,,,,,,,,
294,294,AVIA XPERT PRIVATE LIMITED,SMERA BB+/SMERA A4+,21-Mar-18,,,,,,,,,,
295,295,AVIK POLYCHEM,SMERA BB-/SMERA A4+,04-Aug-17,,,,,,,,,,
296,296,AVIS INDIA,SMERA BB+,05-Oct-16,,,,,,,,,,
297,297,AVK ISPAT PRIVATE LIMITED,SMERA BBB-,25-Oct-17,,,,,,,,,,
298,298,AVLIGHT AUTOMOTIVES PRIVATE LIMITED,SMERA BBB-,16-Oct-15,,,,,,,,,,
299,299,AVMARK POLYMERS PRIVATE LIMITED,SMERA B+,26-Apr-16,Indicative,25-Sep-17,,,,,,,,
300,300,AVON MOLD PLAST PRIVATE LIMITED,SMERA B,12-Nov-16,,,,,,,,,,
301,301,AWATE ENGINEERING PRIVATE LIMITED,SMERA B-/SMERA A4,02-Apr-15,SMERA D,06-Sep-16,,,,,,,,
302,302,AXI LAM PRIVATE LIMITED,SMERA B+,21-Mar-17,,,,,,,,,,
303,303,AXON SYSTEMS PRIVATE LIMITED,SMERA BB,15-Jun-15,Suspended,23-Aug-16,,,,,,,,
304,304,AYAAN TRENDZ PRIVATE LIMITED,SMERA BB+,19-Dec-16,Indicative,13-Mar-18,,,,,,,,
305,305,AYURWIN PHARMA PRIVATE LIMITED,SMERA BBB-,15-Jul-15,Indicative,15-Feb-17,SMERA D,10-Jul-17,,,,,,
306,306,AZAD INDUSTRIES,SMERA B+,19-Sep-17,,,,,,,,,,
307,307,AZINE HEALTHCARE PRIVATE LIMITED,SMERA B+/SMERA A4,11-Sep-17,,,,,,,,,,
308,308,AZURE POWER ERIS PRIVATE LIMITED,SMERA BBB,30-May-17,,,,,,,,,,
309,309,B B INTERNATIONAL,SMERA B,23-Mar-17,,,,,,,,,,
310,310,B C MOHANTY AND SONS PRIVATE LIMITED,SMERA BBB,08-Mar-18,,,,,,,,,,
311,311,B D INDUSTRIES INDIA PRIVATE LIMITED,SMERA B+/SMERA A4,21-Aug-17,,,,,,,,,,
312,312,B D INDUSTRIES PUNE PRIVATE LIMITED,SMERA B+/SMERA A4,21-Aug-17,,,,,,,,,,
313,313,B D RICE EXPORTS SUBHASH CHAND (HUF),SMERA B,19-Dec-17,,,,,,,,,,
314,314,B GHOSE & CO PRIVATE LIMITED,SMERA BB+/SMERA A4+,19-May-17,,,,,,,,,,
315,315,B K DEVELOPERS,SMERA BBB-,15-Sep-15,Indicative,12-Mar-18,,,,,,,,
316,316,B K ROLLING MILLS PRIVATE LIMITED,SMERA BB-,09-May-17,,,,,,,,,,
317,317,B L KASHYAP AND SONS LIMITED,SMERA D,21-Jun-17,,,,,,,,,,
318,318,B L MEHTA CONSTRUCTIONS PRIVATE LIMITED,SMERA BB-/SMERA A4,07-Jul-15,Suspended,08-Oct-16,,,,,,,,
319,319,B M ELECTROTECH CASTINGS PRIVATE LIMITED,SMERA B,07-Jan-15,SMERA B+,06-Jan-16,,,,,,,,
320,320,B M HABITAT,SMERA B-,22-Apr-14,Suspended,14-Oct-15,,,,,,,,
321,321,B MANEK EXPORTS,SMERA BB,26-Nov-13,Suspended,13-Mar-15,,,,,,,,
322,322,B N CHAVAN,SMERA BB/SMERA A4+,02-May-17,,,,,,,,,,
323,323,B N JEWELLERS,SMERA BBB-,15-Apr-15,,,,,,,,,,
324,324,B N SONS,SMERA BB-/SMERA A4,23-Jul-15,Indicative,09-Jan-18,,,,,,,,
325,325,B NANJI A,SMERA B-,13-Nov-17,,,,,,,,,,
326,326,B P EQUITIES PRIVATE LIMITED,SMERA BBB/SMERA A3+,05-Nov-15,SMERA BBB+/SMERA A2,16-Mar-18,,,,,,,,
327,327,B R R AQUA TRADERS PRIVATE LIMITED,SMERA B+,31-Jan-18,,,,,,,,,,
328,328,B S APPAREL,SMERA BBB-/SMERA A3,08-Jul-17,,,,,,,,,,
329,329,B U BHANDARI VAASTU,SMERA B,01-Sep-16,Indicative,15-Nov-17,,,,,,,,
330,330,B Y AGRO & INFRA LIMITED,SMERA B-,19-Jan-16,,,,,,,,,,
331,331,BABA FARID SPUN PIPES,SMERA B,28-Jan-15,SMERA B+,20-May-16,Withdrawn,12-Sep-17,,,,,,
332,332,BABA JATADHARI AGRO (INDIA) PRIVATE LIMITED,SMERA D,01-Mar-16,Indicative,26-Sep-17,,,,,,,,
333,333,BABA SEWA SINGH INDUSTRIES,SMERA B+,11-Dec-14,Indicative,15-May-17,,,,,,,,
334,334,BADDI FOILS PRIVATE LIMITED,SMERA B+/SMERA A4,13-Jul-15,SMERA BB/SMERA A4+,18-Jan-16,SMERA BB+/SMERA A4+,07-Mar-17,,,,,,
335,335,BADRINATH COTTON,SMERA B,13-Oct-16,,,,,,,,,,
336,336,BAGADIA BROTHERS,SMERA B+/SMERA A4,11-Mar-15,SMERA BB-/SMERA A4+,11-Mar-16,SMERA B+/SMERA A4,08-Jun-17,,,,,,
337,337,BAGHMARI TEA COMPANY LIMITED,SMERA BB/SMERA A4+,05-Feb-18,,,,,,,,,,
338,338,BAGKIYA CONSTRUCTIONS PRIVATE LIMITED,SMERA BB-/SMERA A4+,29-May-17,,,,,,,,,,
339,339,BAGLA POLIFILMS LIMITED,SMERA BB/SMERA A4+,20-Oct-16,SMERA BB+/SMERA A4+,08-Dec-17,,,,,,,,
340,340,BAHL BUILDERS PRIVATE LIMITED,SMERA BB/SMERA A4+,21-Aug-17,,,,,,,,,,
341,341,BAIDYANATH MINERALS PRIVATE LIMITED,SMERA B,10-Feb-17,,,,,,,,,,
342,342,BAJRANG AGRO INDUSTRIES PRIVATE LIMITED,SMERA BBB-/SMERA A3,10-Jun-16,Indicative,17-Aug-17,,,,,,,,
343,343,BAJWA DEVELOPERS LIMITED,SMERA BB,25-Jun-14,Suspended,14-Oct-15,,,,,,,,
344,344,BALA SUNDRI RICE MILLS,SMERA B,30-Mar-16,Indicative,12-May-17,SMERA D,26-Jul-17,,,,,,
345,345,BALAJEE STRUCTURALS INDIA LIMITED,SMERA BB+,27-Dec-13,Suspended,20-Mar-15,,,,,,,,
346,346,BALAJI AGRO PRIVATE LIMITED,SMERA BB/SMERA A4+,22-Jan-18,,,,,,,,,,
347,347,BALAJI ASSOCIATES,SMERA BB-,21-Apr-16,Indicative,31-Aug-17,,,,,,,,
348,348,BALAJI ENGINEERING,SMERA B/SMERA A4,11-Sep-15,Suspended,16-Dec-16,SMERA D,08-Jul-17,,,,,,
349,349,BALAJI EXPORTS,SMERA A4+,24-Jul-15,Suspended,24-Nov-16,,,,,,,,
350,350,BALAJI PRECISION TUBES (INDIA) PRIVATE LIMITED,SMERA B-,06-Apr-17,,,,,,,,,,
351,351,BALAJI RICE INDUSTRIES,SMERA BB-,27-Feb-17,,,,,,,,,,
352,352,BALAJI RICE MILL,SMERA B,02-Nov-16,Indicative,31-Jan-18,,,,,,,,
353,353,BALAJI RICE MILL (ANDHRA PRADESH),SMERA BB-/SMERA A4+,27-Jun-17,,,,,,,,,,
354,354,BALAJI ROAD CONSTRUCTIONS,SMERA BB-/SMERA A4+,18-Mar-17,,,,,,,,,,
355,355,BALAJI STONE CRUSHING PLANT,SMERA BB-/SMERA A4,15-Jul-15,SMERA BB-/SMERA A4+,28-Sep-16,SMERA B+/SMERA A4,26-Sep-17,,,,,,
356,356,BALAR BUILDCON PRIVATE LIMITED,SMERA D,12-Feb-14,Suspended,02-Jun-15,,,,,,,,
357,357,BALI STEEL TUBES,SMERA BB,13-Sep-16,Indicative,29-Dec-17,,,,,,,,
358,358,BALIGA INVESTMENTS PRIVATE LIMITED,SMERA B,02-Dec-16,Indicative,23-Feb-18,,,,,,,,
359,359,BALIGA LIGHTING EQUIPMENTS PRIVATE LIMITED,SMERA BB+/SMERA A4+,30-Dec-16,SMERA BBB-/SMERA A3,15-Mar-18,,,,,,,,
360,360,BALIRAJA SAKHAR KARKHANA LIMITED,SMERA B-,22-Dec-15,SMERA D,10-May-17,,,,,,,,
361,361,BALU IRON AND STEEL COMPANY,SMERA B-,06-Aug-15,Suspended,27-Aug-16,,,,,,,,
362,362,BANARSI DASS COTTON MILLS PRIVATE LIMITED,SMERA B,29-Dec-15,Indicative,10-Mar-17,,,,,,,,
363,363,BANERJEE AUTO CORPORATION,SMERA BB-,03-Feb-16,Indicative,02-Mar-17,,,,,,,,
364,364,BANGALORE BIOTECH LABS PRIVATE LIMITED,SMERA BBB-/SMERA A3,30-Apr-13,Suspended,08-Sep-14,,,,,,,,
365,365,BANGALORE METALLURGICALS PRIVATE LIMITED,SMERA BB-,31-Oct-17,,,,,,,,,,
366,366,BANSAL IRON AND STEEL TRADERS,SMERA BB,15-Dec-17,,,,,,,,,,
367,367,BANSAL REAL TECH LIMITED,SMERA BB+/SMERA A4+,04-Jul-16,"SMERA D(Indicative-Downgraded)",06-Oct-17,,,,,,,,
368,368,BANSAL TRADELINKERS PRIVATE LIMITED,SMERA D,01-Dec-15,Indicative,08-Feb-17,,,,,,,,
369,369,BARNALA STEEL INDUSTRIES,SMERA B+,30-Mar-15,Indicative,29-May-17,,,,,,,,
370,370,BAROQUE PHARMACEUTICALS PRIVATE LIMITED,SMERA BB/SMERA A4+,16-Apr-15,Suspended,30-Jun-16,,,,,,,,
371,371,BASANT TEXFAB PRIVATE LIMITED,SMERA B+/SMERA A4,22-Nov-13,SMERA D,16-Oct-14,Suspended,11-Jan-16,,,,,,
372,372,BATHSHA MARINE EXPORTS PRIVATE LIMITED,SMERA B-/SMERA A4,19-Jan-16,Indicative,16-May-17,SMERA D,22-Aug-17,,,,,,
373,373,BATRA AUTO COMPANY,SMERA BB-,05-May-15,Suspended,26-Aug-16,,,,,,,,
374,374,BB ASIA IMPEX PRIVATE LIMITED,SMERA BB/SMERA A4+,16-Jul-15,,,,,,,,,,
375,375,BCITS PRIVATE LIMITED,SMERA BB+/SMERA A4+,18-Dec-17,,,,,,,,,,
376,376,BCPL RAILWAY INFRASTRUCTURE LIMITED,SMERA BB+/SMERA A4+,31-Mar-15,SMERA BBB-/SMERA A3,30-Nov-15,SMERA BB+/SMERA A4+,15-Mar-17,,,,,,
377,377,BDJ OXIDES PRIVATE LIMITED,SMERA B+/SMERA A4,04-Apr-17,,,,,,,,,,
378,378,BEARDSELL LIMITED,SMERA BB+/SMERA A4+,07-Oct-14,SMERA BBB-/SMERA A3,29-Sep-16,SMERA BBB/SMERA A3+,30-Dec-17,,,,,,
379,379,BELLA JEWELRY PRIVATE LIMITED,SMERA A4,28-Dec-17,,,,,,,,,,
380,380,BERRY ALLOYS LIMITED,SMERA D,08-Aug-16,SMERA B+/SMERA A4,24-Jul-17,,,,,,,,
381,381,BEST CROP SCIENCE LLP,SMERA BB,26-Dec-17,,,,,,,,,,
382,382,BEST KOKI AUTOMOTIVE PRIVATE LIMITED,SMERA BBB+/SMERA A2,06-May-15,Suspended,02-Aug-16,SMERA BBB+/SMERA A2,21-Nov-16,,,,,,
383,383,BETEX INDIA LIMITED,SMERA BBB-,04-Jun-15,,,,,,,,,,
384,384,BHADRESH TRADING CORPORATION LIMITED,"SMERA BBB-/SMERA A3",29-Apr-13,Suspended,03-Mar-15,,,,,,,,
385,385,BHAGAWATI OXYGEN LIMITED,SMERA BB-,02-Mar-16,,,,,,,,,,
386,386,BHAGWAT TEX,SMERA B-,05-Aug-16,Indicative,26-Oct-17,,,,,,,,
387,387,BHAGWATI FASTNERS PRIVATE LIMITED,SMERA BB-/SMERA A4+,11-Oct-17,,,,,,,,,,
388,388,BHAGWATI POLYFILL PRIVATE LIMITED,SMERA BB-,23-Nov-16,Indicative,24-Jan-18,,,,,,,,
389,389,BHAGWATI PRODUCTS LIMITED,SMERA A-/SMERA A2+,09-Mar-18,,,,,,,,,,
390,390,BHAGWATI RICE MILLS,SMERA BB-,23-Sep-15,SMERA D,23-Jan-17,Indicative,12-Mar-18,,,,,,
391,391,BHAGYA LAXMI GEMS AND JEWELLERS PRIVATE LIMITED,SMERA BB+/SMERA A4+,27-Jul-15,SMERA D,25-Nov-16,SMERA B+/SMERA A4,13-Nov-17,,,,,,
392,392,BHAGYALAXMI,SMERA BB-,09-Oct-15,Indicative,23-Feb-17,SMERA D,13-Oct-17,,,,,,
393,393,BHAIRAV EMBRO DESIGNS PRIVATE LIMITED,SMERA BB,18-Feb-15,Indicative,19-Jul-17,,,,,,,,
394,394,BHANSALI JEWELLERY HOUSE,SMERA B+,28-Jan-16,Indicative,21-Apr-17,,,,,,,,
395,395,BHANSALI PACKING SERVICE,SMERA B,20-Nov-15,Indicative,01-Mar-17,SMERA B-,04-Apr-17,,,,,,
396,396,BHANU FARMS LIMITED,SMERA B-/SMERA A4,19-Oct-15,,,,,,,,,,
397,397,BHARAT BIO GAS ENERGY LIMITED,SMERA D,27-Mar-17,Indicative,31-Mar-18,,,,,,,,
398,398,BHARAT BRIGHT BARS PRIVATE LIMITED,SMERA BB-/SMERA A4+,09-Mar-16,SMERA B+/SMERA A4,08-Jun-17,,,,,,,,
399,399,"BHARAT ENGINEERING CONSTRUCTION COMPANY PRIVATELIMITED",SMERA BB/SMERA A4+,11-Jul-16,,,,,,,,,,
400,400,BHARAT INDUSTRIAL CORPORATION,SMERA B/SMERA A4,02-Nov-16,SMERA B+/SMERA A4,10-Jan-18,,,,,,,,
401,401,BHARAT INDUSTRIES,SMERA BB-/SMERA A4+,09-Nov-15,Indicative,08-Feb-17,,,,,,,,
402,402,BHARAT KUMAR & CO PRIVATE LIMITED,SMERA B+,14-Dec-15,Indicative,24-Oct-17,,,,,,,,
403,403,BHARAT RAIL AUTOMATIONS PRIVATE LIMITED,SMERA BBB-/SMERA A3,05-Feb-18,,,,,,,,,,
404,404,BHARATH ELECTRICAL WORKS,SMERA BB+/SMERA A4+,08-Mar-18,,,,,,,,,,
405,405,BHARATHI WOMEN DEVELOPMENT CENTRE,SMERA BB,27-Dec-17,,,,,,,,,,
406,406,BHASKAR FERTILISERS LIMITED,SMERA B/SMERA A4,17-Jan-17,Indicative,17-Mar-18,,,,,,,,
407,407,BHATIA PHOTO INDUSTRIES PRIVATE LIMITED,SMERA B+/SMERA A4,20-Jun-16,Indicative,25-Sep-17,SMERA BB-/SMERA A4,22-Jan-18,,,,,,
408,408,BHAVANI COTTON INDUSTRIES,SMERA B+,18-Oct-16,Indicative,15-Nov-17,,,,,,,,
409,409,BHAVEE TEX,SMERA B-,05-Aug-16,Indicative,15-Nov-17,,,,,,,,
410,410,BHAVIK ENTERPRISES LIMITED,SMERA A3+,11-Apr-17,,,,,,,,,,
411,411,BHAVNA ENGINEERING COMPANY PRIVATE LIMITED,SMERA BB+/SMERA A4+,05-Oct-16,Indicative,02-Jan-18,,,,,,,,
412,412,BHAVNA PROPERTY DEVELOPERS LIMITED,SMERA BB/SMERA A4+,09-Oct-17,,,,,,,,,,
413,413,BHAWANI CASTINGS PRIVATE LIMITED,SMERA BB+/SMERA A4,21-Dec-17,,,,,,,,,,
414,414,BHOLENATH FOODS LIMITED,SMERA BBB-,13-Oct-17,,,,,,,,,,
415,415,BHORUKA CHARITABLE TRUST,SMERA BB+/SMERA A4+,30-Aug-16,,,,,,,,,,
416,416,BHRUNDA INFRA PRIVATE LIMITED,SMERA BBB-/SMERA A3,28-Feb-18,,,,,,,,,,
417,417,BHUMI PROCON PRIVATE LIMITED,SMERA BB/SMERA A4+,28-Oct-15,SMERA BB+/SMERA A4+,19-Jan-17,Indicative,31-Mar-18,,,,,,
418,418,BIDHATA INDUSTRIES PRIVATE LIMITED,SMERA BB+/SMERA A4+,10-Feb-18,,,,,,,,,,
419,419,BIGJOS INFRAESTATE LIMITED,SMERA A4,28-Jul-17,,,,,,,,,,
420,420,BIHANI INTERNATIONAL PRIVATE LIMITED,SMERA B,27-Jan-16,Indicative,16-May-17,,,,,,,,
421,421,BIJAPUR HUNGUND TOLLWAY PRIVATE LIMITED,SMERA BBB-,30-Apr-14,SMERA BBB,25-May-15,Indicative,19-Jan-17,,,,,,
422,422,BIJASANI GINNING AND PRESSING FACTORY,SMERA B+,30-Sep-15,,,,,,,,,,
423,423,BIKASH ENTERPRISES,SMERA B/SMERA A4,16-Oct-15,Suspended,09-Dec-16,,,,,,,,
424,424,BIL ENERGY SYSTEMS LIMITED,SMERA D,28-Nov-13,,,,,,,,,,
425,425,BILASPUR MINING INDUSTRIES PRIVATE LIMITED,SMERA BBB+/SMERA A2+,07-Feb-18,,,,,,,,,,
426,426,BINA METAL WAY PRIVATE LIMITED,SMERA D,05-Jun-15,SMERA B-/SMERA A4,13-Sep-16,Indicative,04-Jan-18,SMERA B/SMERA A4,19-Jan-18,,,,
427,427,BINA TUBE PRIVATE LIMITED,SMERA B+/SMERA A4,21-Jul-17,,,,,,,,,,
428,428,BINA UDYOG PRIVATE LIMITED,SMERA B+/SMERA A4,30-Dec-16,Indicative,28-Mar-18,,,,,,,,
429,429,BIO MEDICAL LIFESCIENCES PRIVATE LIMITED,SMERA BB,20-Mar-17,,,,,,,,,,
430,430,BIOFUEL INDUSTRIES,SMERA D,07-Jan-15,Indicative,01-Jun-17,,,,,,,,
431,431,BIOTECH VISION CARE PRIVATE LIMITED,SMERA BBB/SMERA A3+,17-Mar-17,,,,,,,,,,
432,432,BIRBAL INTERNATIONAL PRIVATE LIMITED,SMERA A4,14-Oct-17,,,,,,,,,,
433,433,BIRIN SPINNING MILLS LIMITED,SMERA BB-,20-Mar-17,,,,,,,,,,
434,434,BIRLI SPINNING MILL PRIVATE LIMITED,SMERA B+/SMERA A4,14-Nov-17,,,,,,,,,,
435,435,BISMILLAH TIMBER PRIVATE LIMITED,SMERA BB-/SMERA A4+,06-Oct-15,SMERA BB/SMERA A4+,26-Dec-16,Indicative,23-Feb-18,,,,,,
436,436,BLA PROJECTS PRIVATE LIMITED,SMERA BBB/SMERA A3+,23-Jan-18,,,,,,,,,,
437,437,BLAUMANN INDUSTRIES PRIVATE LIMITED,SMERA B+/SMERA A4,28-Aug-15,Indicative,24-Feb-18,,,,,,,,
438,438,BLISS IMPEX,SMERA BB+,03-Aug-15,Suspended,13-Aug-16,,,,,,,,
439,439,BLOW CAN INDUSTRIES,SMERA BB/SMERA A4+,31-Jan-18,,,,,,,,,,
440,440,BLOW PACKAGING INDIA PRIVATE LIMITED,SMERA BBB/SMERA A2,03-Feb-16,,,,,,,,,,
441,441,BLUE CIRCLE ORGANICS PRIVATE LIMITED,SMERA B+,27-Oct-14,Suspended,25-Jan-16,,,,,,,,
442,442,BLUE PHOSPHATE LIMITED,SMERA BB-/SMERA A4,04-Dec-15,SMERA B+/SMERA A4,28-Apr-17,,,,,,,,
